Index,Repository Name,Project Type,Automation Files,Stars,Forks,Project Size (KB),Commits (30 days),Open PRs (30 days),Closed PRs (30 days),Open Issues (30 days),Closed Issues (30 days),Rejection Rate (%),Avg. Merge Time (hours),Avg. Resolution Time (hours),Automation Group,Bot PR Closure Rate (%),Bot Issue Closure Rate (%),Bot Activity Score
159,concourse/concourse,Open Source,1,7480,851,180561,9,7,93,12,37,8.0,365.6210098039216,1517.507846364883,Moderate Automation,40,50,40.0
160,circleci/circleci-docs,Mixed,1,798,1304,282537,30,13,87,1,2,19.0,153.59754084967318,147.32348514211884,Moderate Automation,40,50,27.7
161,libreoffice/core,Open Source,1,2900,650,5943174,30,0,43,0,0,100.0,,7453.797054263567,Moderate Automation,40,0,13.9
162,gatsbyjs/gatsby,Open Source,1,55641,10308,1143574,5,33,67,18,4,21.0,175.36702294685992,154.97574074074072,Moderate Automation,40,50,22.3
163,apache/maven,Open Source,1,4456,2699,84666,30,10,90,0,0,17.0,69.88905631659055,69.8121975308642,Moderate Automation,40,0,28.0
164,seaborn/seaborn,Mixed,1,34,21,54078,0,1,0,0,0,0.0,,,Moderate Automation,0,0,1.0
165,pytest-dev/pytest-cov,Open Source,1,1806,213,1097,0,6,94,30,40,26.0,871.2038153594771,1823.8898148148148,Moderate Automation,40,50,41.199999999999996
166,istio/istio,Open Source,0,36402,7835,276730,30,21,79,27,9,10.0,18.867652979066023,13.634415204678364,No Automation,0,0,0.0
167,openstack/openstack,Open Source,0,5462,1605,152493,30,0,18,0,0,100.0,,0.3733487654320988,No Automation,0,0,0.0
168,ansible/ansible,Open Source,0,63778,23956,256853,30,21,79,14,16,14.000000000000002,169.9531623931624,59.50361111111111,No Automation,0,0,0.0
169,openshift/origin,Open Source,0,8521,4714,1289071,30,40,60,2,1,10.0,106.20692222222222,103.61587887067397,No Automation,0,0,0.0
170,apple/swift,Open Source,0,67950,10398,1210062,30,56,44,17,4,3.0,26.08626693766937,20.88434941520468,No Automation,0,0,0.0
